                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0216,                 3.3835,                 1.3761,                0.00507,                      1,                0.28972,                0.18427,                 1.1589,                 3.6437,                 1.5736,                0.00032,                0.00032,                0.00032
                      1,                0.77766,                 2.4674,                 1.1751,                0.37308,                0.37839,                0.33949,                0.24549,                 1.0972,                  3.089,                 1.5869,             0.00064871,             0.00064871,             0.00064871
                      2,                0.80292,                 2.3289,                 1.1579,                0.60545,                0.44113,                0.45487,                 0.3101,                 1.0527,                 3.0457,                 1.5923,             0.00097612,             0.00097612,             0.00097612
                      3,                0.78023,                 2.2391,                 1.1652,                0.59045,                0.23132,                0.32882,                0.18695,                 1.7607,                  3.211,                 2.2649,             0.00099406,             0.00099406,             0.00099406
                      4,                0.72889,                 2.0769,                 1.1208,                0.47157,                 0.2163,                0.25258,                  0.152,                 1.6071,                 3.0388,                  2.075,             0.00099406,             0.00099406,             0.00099406
                      5,                0.68953,                 1.9598,                 1.0986,                0.62262,                0.36923,                0.51111,                0.35768,                 1.1338,                  2.185,                 1.6176,             0.00099208,             0.00099208,             0.00099208
                      6,                0.68346,                 1.8577,                 1.0936,                0.65444,                0.63622,                0.63628,                0.41021,                  1.235,                 1.9649,                 1.7711,              0.0009901,              0.0009901,              0.0009901
                      7,                0.67562,                 1.7552,                 1.0781,                0.57441,                0.63124,                0.51973,                0.31556,                  1.233,                 2.6849,                 1.6765,             0.00098812,             0.00098812,             0.00098812
                      8,                0.66813,                 1.6795,                 1.0856,                 0.4224,                  0.906,                0.68055,                0.51406,                0.96728,                 1.6301,                 1.4435,             0.00098614,             0.00098614,             0.00098614
                      9,                0.60605,                 1.6028,                 1.0394,                0.44097,                0.88389,                0.69122,                0.50027,                 1.0574,                 1.7286,                 1.5006,             0.00098416,             0.00098416,             0.00098416
                     10,                  0.597,                 1.5393,                 1.0293,                0.50671,                0.59345,                0.63871,                0.45916,                0.93846,                 1.8302,                 1.3989,             0.00098218,             0.00098218,             0.00098218
                     11,                0.60019,                 1.5441,                 1.0371,                0.74406,                 0.6315,                0.73265,                0.50094,                 1.1054,                 1.5896,                 1.5876,              0.0009802,              0.0009802,              0.0009802
                     12,                0.60666,                 1.4493,                 1.0399,                0.85931,                 0.2413,                0.32689,                0.24947,                 1.0403,                 2.4417,                 1.4698,             0.00097822,             0.00097822,             0.00097822
                     13,                0.61097,                 1.4034,                 1.0412,                0.72005,                0.70658,                0.70536,                0.51323,                 1.0131,                 1.5224,                  1.507,             0.00097624,             0.00097624,             0.00097624
                     14,                0.58165,                 1.3611,                 1.0295,                0.60457,                0.61403,                0.69552,                0.50052,                0.96202,                 1.5058,                  1.425,             0.00097426,             0.00097426,             0.00097426
                     15,                0.56995,                 1.3715,                 1.0239,                 0.6706,                 0.6233,                0.71519,                0.55543,                0.93183,                 1.4415,                 1.3895,             0.00097228,             0.00097228,             0.00097228
                     16,                0.56437,                 1.3358,                 1.0152,                0.76348,                0.72582,                0.78025,                0.59856,                0.87801,                 1.1989,                 1.3177,              0.0009703,              0.0009703,              0.0009703
                     17,                0.54212,                 1.2739,                0.99954,                0.75251,                0.67816,                0.78168,                0.60099,                0.89636,                  1.181,                 1.3597,             0.00096832,             0.00096832,             0.00096832
                     18,                0.52315,                 1.2649,                 1.0005,                0.67847,                0.74644,                0.76194,                0.60081,                0.90976,                 1.1365,                 1.3428,             0.00096634,             0.00096634,             0.00096634
                     19,                0.53249,                    1.2,                 1.0024,                0.80067,                0.78004,                0.74453,                0.57698,                0.88644,                  1.133,                 1.2822,             0.00096436,             0.00096436,             0.00096436
                     20,                0.51136,                 1.2199,                0.99997,                0.74665,                0.79665,                0.76697,                0.59402,                0.87895,                 1.0245,                  1.324,             0.00096238,             0.00096238,             0.00096238
                     21,                0.54428,                 1.1883,                 1.0031,                0.60088,                0.77731,                0.74944,                0.59551,                0.88693,                 1.1462,                 1.3685,              0.0009604,              0.0009604,              0.0009604
                     22,                0.53249,                 1.2308,                0.99723,                0.71952,                0.74897,                0.78151,                0.61709,                0.86016,                 1.1283,                  1.309,             0.00095842,             0.00095842,             0.00095842
                     23,                0.54485,                 1.1464,                 1.0051,                0.63319,                0.71148,                0.75678,                0.58076,                 0.9012,                 1.2676,                 1.3633,             0.00095644,             0.00095644,             0.00095644
                     24,                0.53946,                 1.1831,                 1.0114,                0.74641,                0.73856,                0.78478,                0.59216,                0.94094,                 1.1088,                 1.3808,             0.00095446,             0.00095446,             0.00095446
                     25,                0.53254,                 1.1229,                0.99329,                0.72634,                0.70774,                0.77423,                0.61897,                0.88225,                 1.1135,                 1.3475,             0.00095248,             0.00095248,             0.00095248
                     26,                0.50522,                 1.1294,                0.98843,                0.79951,                0.78069,                0.81399,                0.64889,                0.91907,                 1.0411,                 1.3344,              0.0009505,              0.0009505,              0.0009505
                     27,                0.53489,                 1.1643,                0.99309,                0.75198,                0.71903,                0.81927,                0.60501,                 1.0128,                 1.0654,                 1.3728,             0.00094852,             0.00094852,             0.00094852
                     28,                0.51135,                  1.096,                0.99813,                0.59411,                0.77639,                0.77901,                0.60789,                0.90367,                 1.2759,                 1.3781,             0.00094654,             0.00094654,             0.00094654
                     29,                0.49014,                  1.126,                0.98544,                0.72576,                0.71589,                0.77613,                0.60147,                0.89302,                 1.0171,                  1.373,             0.00094456,             0.00094456,             0.00094456
                     30,                0.47316,                 1.0481,                0.97267,                0.56734,                0.97222,                0.79928,                0.63445,                0.90067,                0.85338,                 1.3302,             0.00094258,             0.00094258,             0.00094258
                     31,                0.48768,                 1.1162,                0.99272,                0.50205,                0.82075,                0.77968,                0.61209,                0.88341,                 1.0755,                 1.3636,              0.0009406,              0.0009406,              0.0009406
                     32,                0.46572,                 1.0699,                0.97232,                0.75472,                0.73563,                0.83025,                0.64502,                0.90709,                0.97709,                 1.3781,             0.00093862,             0.00093862,             0.00093862
                     33,                0.51173,                 1.0319,                0.99981,                0.81464,                0.63022,                0.83314,                0.63215,                0.97043,                 1.0527,                 1.4195,             0.00093664,             0.00093664,             0.00093664
                     34,                0.50963,                 1.0803,                0.99294,                0.60713,                0.91667,                0.88474,                0.71629,                0.83977,                0.84497,                 1.2702,             0.00093466,             0.00093466,             0.00093466
                     35,                0.48373,                 1.0257,                0.97576,                0.82539,                0.81006,                0.85818,                0.65112,                0.90871,                0.82912,                 1.4083,             0.00093268,             0.00093268,             0.00093268
                     36,                0.48634,                 1.0113,                0.97545,                  0.801,                0.78245,                0.81465,                0.62535,                0.90435,                0.82857,                 1.3369,              0.0009307,              0.0009307,              0.0009307
                     37,                 0.4912,                 1.0453,                0.98515,                0.65591,                0.89951,                0.86006,                0.67474,                0.86226,                0.85228,                 1.3181,             0.00092872,             0.00092872,             0.00092872
                     38,                0.47759,                 1.0569,                0.97776,                0.84906,                0.71907,                0.82658,                0.65445,                0.87548,                0.88687,                 1.3173,             0.00092674,             0.00092674,             0.00092674
                     39,                0.47597,                  1.049,                0.97484,                0.76096,                0.69524,                0.83069,                0.65733,                0.90479,                 0.9452,                 1.3305,             0.00092476,             0.00092476,             0.00092476
                     40,                0.46585,                 1.0132,                0.96489,                0.82669,                0.77522,                0.89304,                0.68464,                0.94771,                0.77268,                 1.3236,             0.00092278,             0.00092278,             0.00092278
                     41,                0.45418,                 1.0147,                0.96595,                0.59508,                0.90155,                0.83243,                0.64421,                0.89036,                0.96327,                 1.3167,              0.0009208,              0.0009208,              0.0009208
                     42,                0.45904,                0.96762,                0.96596,                 0.6401,                0.87628,                0.84858,                0.68518,                0.83049,                0.90679,                 1.2613,             0.00091882,             0.00091882,             0.00091882
                     43,                0.49644,                 1.0247,                 0.9773,                0.87464,                0.74353,                0.87394,                0.66198,                0.90248,                0.90427,                 1.4057,             0.00091684,             0.00091684,             0.00091684
                     44,                0.47141,                0.96627,                0.98365,                0.84479,                0.83333,                0.86732,                0.68944,                0.85278,                0.75847,                 1.2813,             0.00091486,             0.00091486,             0.00091486
                     45,                0.45732,                0.99871,                0.97512,                0.65423,                0.94444,                0.91952,                0.70871,                0.89856,                0.77433,                 1.3487,             0.00091288,             0.00091288,             0.00091288
                     46,                0.46557,                0.96624,                0.97107,                0.86907,                0.71916,                0.82095,                0.62883,                0.89754,                 1.0564,                 1.3279,              0.0009109,              0.0009109,              0.0009109
                     47,                0.46544,                0.93159,                0.97277,                0.74889,                0.92576,                0.93992,                0.73367,                0.85953,                   0.76,                 1.3008,             0.00090892,             0.00090892,             0.00090892
                     48,                0.44711,                0.95095,                0.97506,                0.69264,                0.88269,                 0.9314,                0.74005,                0.83967,                0.77902,                 1.2962,             0.00090694,             0.00090694,             0.00090694
                     49,                0.44579,                0.97767,                0.96869,                0.83156,                0.70166,                0.83905,                0.65901,                0.86437,                 1.0462,                 1.3203,             0.00090496,             0.00090496,             0.00090496
